ID,story,text,V_pred,A_pred
1,story1,"Printing, in the only sense with which we are at present concerned, differs from most if not from all the arts and crafts represented in the Exhibition",0.4711559,0.19830108
2,story1,in being comparatively modern.,0.44694087,0.19937429
3,story1,"For although the Chinese took impressions from wood blocks engraved in relief for centuries before the woodcutters of the Netherlands, by a similar process",0.4613865,0.2159061
4,story1,"produced the block books, which were the immediate predecessors of the true printed book,",0.47059742,0.19946545
5,story1,the invention of movable metal letters in the middle of the fifteenth century may justly be considered as the invention of the art of printing.,0.4571821,0.19003524
6,story1,"And it is worth mention in passing that, as an example of fine typography,",0.51581293,0.2690873
7,story1,"the earliest book printed with movable types, the Gutenberg, or ""forty-two line Bible"" of about fourteen fifty-five,",0.51441985,0.26239228
8,story1,has never been surpassed.,0.49922997,0.24392194
9,story1,"Printing, then, for our purpose, may be considered as the art of making books by means of movable types.",0.46072352,0.17661484
10,story1,"Now, as all books not primarily intended as picture-books consist principally of types composed to form letterpress,",0.4579303,0.20896718
11,story1,it is of the first importance that the letter used should be fine in form;,0.464635,0.20172992
12,story1,"especially as no more time is occupied, or cost incurred, in casting, setting, or printing beautiful letters",0.48898682,0.2029371
13,story1,than in the same operations with ugly ones.,0.468697,0.18472454
14,story1,"And it was a matter of course that in the Middle Ages, when the craftsmen took care that beautiful form should always be a part of their productions whatever they were,",0.55144477,0.2833041
15,story1,"the forms of printed letters should be beautiful, and that their arrangement on the page should be reasonable and a help to the shapeliness of the letters themselves.",0.50695115,0.23996346
16,story1,"The Middle Ages brought calligraphy to perfection, and it was natural therefore",0.4945811,0.22452512
17,story1,"that the forms of printed letters should follow more or less closely those of the written character, and they followed them very closely.",0.47950017,0.2007507
18,story1,"The first books were printed in black letter, i.e. the letter which was a Gothic development of the ancient Roman character,",0.45001185,0.20840432
19,story1,"and which developed more completely and satisfactorily on the side of the ""lower-case"" than the capital letters;",0.46923313,0.20474279
20,story1,"the ""lower-case"" being in fact invented in the early Middle Ages.",0.47082847,0.175999
21,story1,"The earliest book printed with movable type, the aforesaid Gutenberg Bible, is printed in letters which are an exact imitation",0.4700853,0.22128434
22,story1,"of the more formal ecclesiastical writing which obtained at that time; this has since been called ""missal type,""",0.4632094,0.19704306
23,story1,"and was in fact the kind of letter used in the many splendid missals, psalters, etc., produced by printing in the fifteenth century.",0.47025964,0.19126594
24,story1,But the first Bible actually dated (which also was printed at Maintz by Peter Schoeffer in the year fourteen sixty-two),0.49972382,0.22383574
25,story1,"imitates a much freer hand, simpler, rounder, and less spiky, and therefore far pleasanter and easier to read.",0.50834155,0.19619603
26,story1,"On the whole the type of this book may be considered the ne-plus-ultra of Gothic type,",0.51078355,0.23262024
27,story1,"especially as regards the lower-case letters; and type very similar was used during the next fifteen or twenty years not only by Schoeffer,",0.52034754,0.22466244
28,story1,"but by printers in Strasburg, Basle, Paris, Lubeck, and other cities.",0.497418,0.19198689
