ID,story,text,V_pred,A_pred
1,story1,"my father,",0.42615202,0.31798428
2,story1,"therefore,",0.4381004,0.29273003
3,story1,I offer it to you.,0.44485384,0.2505437
4,story1,"you knew his brother Panda and his captains,",0.43652326,0.23261946
5,story1,"his servant,",0.37418756,0.26631495
6,story1,who slew him with the Princes.,0.34911996,0.22997887
7,story1,"you have crowned their kings and shared their counsels,",0.40691397,0.23744938
8,story1,a song has been sung in my ears of how first you mastered this people of the Zulu.,0.39855194,0.18565814
9,story1,"And when they grew weary,",0.4497128,0.28146806
10,story1,"did you not stand and say,",0.47834107,0.32390988
11,story1,pointing towards the ocean:,0.48644248,0.3361637
12,story1,"Kill me if you wish,",0.37572914,0.5087002
13,story1,but I tell you that for every drop of my blood a hundred avengers shall rise from yonder sea!,0.33918676,0.61079895
14,story1,"Then,",0.450353,0.41837516
15,story1,"so it was told me,",0.49493694,0.3489757
16,story1,"the regiments turned staring towards the Black Water,",0.4923581,0.41864452
17,story1,"your name became great among the people of the Zulu,",0.6276314,0.54597276
18,story1,"as already it was great among many another tribe,",0.64583576,0.53085184
19,story1,"the royal salute,",0.64313066,0.50351226
20,story1,"Why did you do this, my father?",0.44093293,0.22850832
21,story1,"I will answer, who know the truth.",0.39408627,0.20418827
22,story1,"You did it because,",0.3927989,0.23883621
23,story1,"had it not been done,",0.3622716,0.24672212
24,story1,"Perhaps it had been better to leave it, since",0.3116822,0.23275065
25,story1,"""Death chooses for himself,""",0.34255704,0.23644502
26,story1,"and after all there was killing-of our own people,",0.28469643,0.28454813
27,story1,"But in those days we did not guess what we should live to see,",0.34918347,0.22542752
28,story1,Yet what does that avail?,0.13353558,0.26482126
29,story1,"it will be forgotten,",0.12456745,0.30541858
30,story1,Only your name will not be forgotten;,0.26722693,0.2858819
31,story1,"as it was heard in life so it shall be heard in story,",0.2823421,0.28616846
32,story1,"however humbly,",0.28099072,0.29300848
33,story1,mine may pass down with it.,0.26778278,0.24972618
34,story1,"and I must leave the ways of action that I love and bury myself in books,",0.2401689,0.23199333
35,story1,"but the old days and friends are in my mind,",0.31681433,0.28705642
36,story1,nor while I have memory shall I forget them and you.,0.27961004,0.25095868
37,story1,"Therefore,",0.4375394,0.32344046
38,story1,Elephant that is not turned!,0.4422082,0.29913238
39,story1,You who nursed us from of old!,0.5352027,0.35702774
40,story1,"You who overshadowed all peoples and took charge of them,",0.52391785,0.36497113
41,story1,Help of the fatherless when in trouble!,0.5177222,0.34227023
42,story1,PREFACE The writer of this romance has been encouraged to his task by a purpose somewhat beyond that of setting out a wild tale of savage life.,0.45534086,0.17275049
43,story1,"When he was yet a lad,-now some seventeen years ago,-fortune took him to South Africa.",0.48317355,0.16410747
44,story1,"There he was thrown in with men who,",0.47240356,0.17768627
45,story1,"for thirty or forty years,",0.47855407,0.19315296
46,story1,"had been intimately acquainted with the Zulu people,",0.47492844,0.1942505
47,story1,"with their history,",0.47587886,0.19549288
48,story1,and their customs.,0.45912758,0.18291268
49,story1,"From these he heard many tales and traditions,",0.43975312,0.20488523
50,story1,"perhaps,",0.42628852,0.22093686
51,story1,"are rarely told nowadays,",0.3888626,0.19826005
52,story1,and in time to come may cease to be told altogether.,0.37548035,0.19097792
53,story1,"now that nation has been destroyed,",0.23492411,0.32973513
54,story1,"and the chief aim of its white rulers is to root out the warlike spirit for which it was remarkable,",0.26462305,0.3140744
55,story1,and to replace it by a spirit of peaceful progress.,0.30112463,0.31296095
56,story1,"perhaps the most wonderful that the world has seen,",0.37060934,0.26423794
57,story1,is already a thing of the past;,0.2738128,0.28191563
58,story1,building it up from the smallest beginnings.,0.28818947,0.27052593
59,story1,"When he appeared at the commencement of this century,",0.3984682,0.24160364
60,story1,it was as the ruler of a single small tribe;,0.40814233,0.22244698
61,story1,"when he fell,",0.384153,0.2385712
62,story1,"in the year eighteen twenty eight,",0.40438026,0.23958701
63,story1,"as he is called also,",0.40308893,0.24398538
64,story1,and in his march to power he had slaughtered more than a million human beings.,0.34397286,0.25543383
65,story1,so no more need be said of them here.,0.38184783,0.18758224
66,story1,"has been to convey,",0.39539132,0.2255672
67,story1,"in a narrative form,",0.41795844,0.22557102
68,story1,"and to make accessible,",0.42753386,0.23133238
69,story1,"in a popular shape,",0.44262043,0.2258591
70,story1,"incidents of history which are now,",0.42430884,0.21658798
71,story1,"only to be found in a few scarce works of reference,",0.44419748,0.2331009
72,story1,"rarely consulted,",0.42228633,0.23799728
73,story1,"It will be obvious that such a task has presented difficulties,",0.3781806,0.20327172
74,story1,and think with the mind and speak with the voice of a Zulu of the old regime.,0.4231767,0.19310004
75,story1,"their details have, therefore, been suppressed.",0.41066056,0.18500154
76,story1,"Still much remains,",0.4397655,0.21076764
77,story1,may be invited to leave this book unread.,0.43994007,0.17628734
78,story1,"indeed nearly all,",0.40603185,0.21944325
79,story1,"for the reason given,",0.4102516,0.21098427
80,story1,and that he prophesied of the coming of the white man after receiving his death wounds.,0.44861242,0.20250565
81,story1,it is impossible to speak so certainly.,0.44841012,0.17008139
82,story1,but he cannot discover any confirmation of it.,0.44000265,0.18359022
83,story1,these kings undoubtedly put their soldiers to many tests of equal severity.,0.4678351,0.16609082
84,story1,"Umbopo, or Mopo, as he is named in this tale, actually lived.",0.47686926,0.14327155
85,story1,"Then he disappears from the scene,",0.45958176,0.17228857
86,story1,but it is not accurately known whether he also went,0.42497608,0.18893738
