ID,story,text
1,story1,"Printing, in the only sense with which we are at present concerned, differs from most if not from all the arts and crafts represented in the Exhibition"
2,story1,in being comparatively modern.
3,story1,"For although the Chinese took impressions from wood blocks engraved in relief for centuries before the woodcutters of the Netherlands, by a similar process"
4,story1,"produced the block books, which were the immediate predecessors of the true printed book,"
5,story1,the invention of movable metal letters in the middle of the fifteenth century may justly be considered as the invention of the art of printing.
6,story1,"And it is worth mention in passing that, as an example of fine typography,"
7,story1,"the earliest book printed with movable types, the Gutenberg, or ""forty-two line Bible"" of about fourteen fifty-five,"
8,story1,has never been surpassed.
9,story1,"Printing, then, for our purpose, may be considered as the art of making books by means of movable types."
10,story1,"Now, as all books not primarily intended as picture-books consist principally of types composed to form letterpress,"
11,story1,it is of the first importance that the letter used should be fine in form;
12,story1,"especially as no more time is occupied, or cost incurred, in casting, setting, or printing beautiful letters"
13,story1,than in the same operations with ugly ones.
14,story1,"And it was a matter of course that in the Middle Ages, when the craftsmen took care that beautiful form should always be a part of their productions whatever they were,"
15,story1,"The Middle Ages brought calligraphy to perfection, and it was natural therefore"
16,story1,"that the forms of printed letters should follow more or less closely those of the written character, and they followed them very closely."
17,story1,"The first books were printed in black letter, i.e. the letter which was a Gothic development of the ancient Roman character,"
18,story1,"and which developed more completely and satisfactorily on the side of the ""lower-case"" than the capital letters;"
19,story1,"the ""lower-case"" being in fact invented in the early Middle Ages."
20,story1,"The earliest book printed with movable type, the aforesaid Gutenberg Bible, is printed in letters which are an exact imitation"
21,story1,"of the more formal ecclesiastical writing which obtained at that time; this has since been called ""missal type,"""
22,story1,"and was in fact the kind of letter used in the many splendid missals, psalters, etc., produced by printing in the fifteenth century."
23,story1,But the first Bible actually dated (which also was printed at Maintz by Peter Schoeffer in the year fourteen sixty-two)
24,story1,"imitates a much freer hand, simpler, rounder, and less spiky, and therefore far pleasanter and easier to read."
25,story1,"On the whole the type of this book may be considered the ne-plus-ultra of Gothic type,"
26,story1,"especially as regards the lower-case letters; and type very similar was used during the next fifteen or twenty years not only by Schoeffer,"
27,story1,"but by printers in Strasburg, Basle, Paris, Lubeck, and other cities."
28,story1,"But though on the whole, except in Italy, Gothic letter was most often used"
29,story1,"a very few years saw the birth of Roman character not only in Italy, but in Germany and France."
30,story1,"In fourteen sixty-five Sweynheim and Pannartz began printing in the monastery of Subiaco near Rome,"
31,story1,"and used an exceedingly beautiful type, which is indeed to look at a transition between Gothic and Roman,"
32,story1,but which must certainly have come from the study of the twelfth or even the eleventh century MSS.
33,story1,"They printed very few books in this type, three only; but in their very first books in Rome, beginning with the year fourteen sixty-eight,"
34,story1,they discarded this for a more completely Roman and far less beautiful letter.
35,story1,But about the same year Mentelin at Strasburg began to print in a type which is distinctly Roman;
36,story1,and the next year Gunther Zeiner at Augsburg followed suit;
37,story1,"while in fourteen seventy at Paris Udalric Gering and his associates turned out the first books printed in France, also in Roman character."
38,story1,"The Roman type of all these printers is similar in character,"
39,story1,"and is very simple and legible, and unaffectedly designed for use; but it is by no means without beauty."
40,story1,"It must be said that it is in no way like the transition type of Subiaco,"
41,story1,"and though more Roman than that, yet scarcely more like the complete Roman type of the earliest printers of Rome."
42,story1,A further development of the Roman letter took place at Venice.
43,story1,"John of Spires and his brother Vindelin, followed by Nicholas Jenson, began to print in that city,"
44,story1,"fourteen sixty-nine, fourteen seventy;"
45,story1,their type is on the lines of the German and French rather than of the Roman printers.
46,story1,Of Jenson it must be said that he carried the development of Roman type as far as it can go:
47,story1,"his letter is admirably clear and regular, but at least as beautiful as any other Roman type."
48,story1,"After his death in the ""fourteen eighties,"" or at least by fourteen ninety, printing in Venice had declined very much;"
49,story1,"and though the famous family of Aldus restored its technical excellence, rejecting battered letters,"
50,story1,"yet their type is artistically on a much lower level than Jenson's, and in fact"
51,story1,they must be considered to have ended the age of fine printing in Italy.
52,story1,"Jenson, however, had many contemporaries who used beautiful type,"
53,story1,"some of which -- as, e.g., that of Jacobus Rubeus or Jacques le Rouge -- is scarcely distinguishable from his."
54,story1,"It was these great Venetian printers, together with their brethren of Rome, Milan,"
55,story1,"Parma, and one or two other cities, who produced the splendid editions of the Classics, which are one of the great glories of the printer's art,"
56,story1,"and are worthy representatives of the eager enthusiasm for the revived learning of that epoch. By far,"
57,story1,"the greater part of these Italian printers, it should be mentioned, were Germans or Frenchmen, working under the influence of Italian opinion and aims."
58,story1,It must be understood that through the whole of the fifteenth and the first quarter of the sixteenth centuries
59,story1,the Roman letter was used side by side with the Gothic.
60,story1,"Even in Italy most of the theological and law books were printed in Gothic letter,"
61,story1,"many of whose types, indeed, like that of the Subiaco works, are of a transitional character."
62,story1,"This was notably the case with the early works printed at Ulm, and in a somewhat lesser degree at Augsburg."
63,story1,In fact Gunther Zeiner's first type (afterwards used by Schussler) is remarkably like the type of the before-mentioned Subiaco books.
64,story1,"In the Low Countries and Cologne, which were very fertile of printed books, Gothic was the favorite."
65,story1,"The characteristic Dutch type, as represented by the excellent printer Gerard Leew, is very pronounced and uncompromising Gothic."
66,story1,"This type was introduced into England by Wynkyn de Worde, Caxton's successor,"
67,story1,"and was used there with very little variation all through the sixteenth and seventeenth centuries, and indeed into the eighteenth."
68,story1,"Most of Caxton's own types are of an earlier character, though they also much resemble Flemish or Cologne letter."
69,story1,went on apace; and by the end of the sixteenth century there was no really beautiful printing done:
70,story1,"the best, mostly French or Low-Country, was neat and clear, but without any distinction;"
71,story1,"the worst, which perhaps was the English, was a terrible falling-off from the work of the earlier presses;"
72,story1,"and things got worse and worse through the whole of the seventeenth century, so that in the eighteenth printing was very miserably performed."
73,story1,"In England about this time, an attempt was made (notably by Caslon, who started business in London as a type-founder in seventeen twenty)"
74,story1,to improve the letter in form.
75,story1,he seems to have taken the letter of the Elzevirs of the seventeenth century for his model:
76,story1,type cast from his matrices is still in everyday use.
77,story1,"In spite, however, of his praiseworthy efforts, printing had still one last degradation to undergo."
78,story1,The seventeenth century founts were bad rather negatively than positively.
79,story1,But for the beauty of the earlier work they might have seemed tolerable.
80,story1,"It was reserved for the founders of the later eighteenth century to produce letters which are positively ugly, and which, it may be added,"
81,story1,are dazzling and unpleasant to the eye owing to the clumsy thickening and vulgar thinning of the lines:
82,story1,"for the seventeenth-century letters are at least pure and simple in line. The Italian, Bodoni, and the Frenchman, Didot,"
83,story1,"were the leaders in this luckless change, though our own Baskerville, who was at work some years before them, went much on the same lines;"
84,story1,"but his letters, though uninteresting and poor, are not nearly so gross and vulgar as those of either the Italian or the Frenchman."
85,story1,"With this change the art of printing touched bottom,"
86,story1,"so far as fine printing is concerned, though paper did not get to its worst till about eighteen forty."
87,story1,"The Chiswick press in eighteen forty-four revived Caslon's founts, printing for Messrs. Longman the Diary of Lady Willoughby."
88,story1,This experiment was so far successful that about eighteen fifty Messrs. Miller and Richard of Edinburgh
89,story1,"These and similar founts, cast by the above firm and others,"
90,story1,"a little reduced in ugliness. The design of the letters of this modern ""old style"" leaves a good deal to be desired,"
91,story1,"and the whole effect is a little too gray, owing to the thinness of the letters."
92,story1,"It must be remembered, however, that most modern printing is done by machinery on soft paper, and not by the hand press,"
93,story1,"and these somewhat wiry letters are suitable for the machine process, which would not do justice to letters of more generous design."
94,story1,It is discouraging to note that the improvement of the last fifty years is almost wholly confined to Great Britain.
95,story1,but the general revival of the old forms has made no way in those countries.
96,story1,Italy is contentedly stagnant.
97,story1,"America has produced a good many showy books, the typography, paper, and illustrations of which are, however, all wrong,"
98,story1,oddity rather than rational beauty and meaning being apparently the thing sought for both in the letters and the illustrations.
99,story1,To say a few words on the principles of design in typography:
100,story1,it is obvious that legibility is the first thing to be aimed at in the forms of the letters;
101,story1,"this is best furthered by the avoidance of irrational swellings and spiky projections, and by the using of careful purity of line."
102,story1,"the ends of many of the letters such as the t and e are hooked up in a vulgar and meaningless way,"
103,story1,instead of ending in the sharp and clear stroke of Jenson's letters;
104,story1,"there is a grossness in the upper finishings of letters like the c, the a, and so on,"
105,story1,an ugly pear-shaped swelling defacing the form of the letter:
106,story1,"in short, it happens to this craft, as to others, that the utilitarian practice, though it professes to avoid ornament,"
