ID,story,text,V_pred,A_pred
1,story1,秦朝末年，沛公刘邦在芒荡山斩白蛇，揭竿而起。三载亡秦，五年破楚，打下了汉室天下。,0.505004,0.2925759
2,story1,刘邦是汉朝的开国之君，被后人称为汉高祖。,0.47740814,0.24814591
3,story1,刘邦登基之后。,0.50318444,0.21411063
4,story1,有一个人姓楼叫楼静，他是拢右人，就建议汉高祖刘邦迁都关中，所以刘邦就传下旨意，,0.4940447,0.22647518
5,story1,让丞相萧何到咸阳去建造宫殿，,0.47937933,0.22378062
6,story1,等未央宫建成了之后，萧何迎接汉高祖，请高祖刘邦游览未央宫，,0.49463972,0.22638333
7,story1,刘邦到了未央宫怎么一看，,0.59783894,0.3450348
8,story1,心情豁然开朗，好大的未央宫啊!占地几十里，殿宇壮观，广袤千间，气象巍峨，富丽堂皇，好一派天子的尊严!,0.92174363,0.6840952
9,story1,刘邦非常高兴，用手指着未央宫的四周，就跟宰相萧何说：“丞相，,0.94168097,0.7128059
10,story1,此处可以添驻成员作为精义号称长安。”就这样长安有了，汉高祖刘邦定都长安。,0.6199127,0.36254552
11,story1,高祖刘邦是汉朝的开国皇帝，刘邦死了之后太子刘盈继位就是历史上的汉惠帝，,0.4750254,0.22966161
12,story1,刘盈死了，吕氏专权，后来十老安刘，十位汉室老忠臣迎接大王刘衡，进京承继汉统，就是汉文帝。,0.46951717,0.20092863
13,story1,因为惠帝刘盈还有文帝刘衡都是汉高祖刘邦的儿子所以我们把它归为一代，第三代就是景帝刘启，,0.47740492,0.22808196
14,story1,刘启在位十六年，死的时候才四十八岁，景帝归天了，太子刘彻登基，就是我们这部书所说的汉天子汉武帝刘彻。,0.46850425,0.22596638
15,story1,按说呢，皇上应该死了之后才有谥号。我们为了说着方便，,0.48769853,0.21852791
16,story1,就说刘彻为汉武帝。,0.47017124,0.18935
17,story1,汉武帝登基之后，长安城已然有四十多年的历史了，人口发展到将近一百万。三街六市做买的做卖的，热闹繁华，甭说城里，就是长安附近的京兆府、冯邑府、福丰府，八百里地的秦川，也可以称为天下之富了。,0.49529848,0.24018475
18,story1,就在长安城东门里有条街，这条街是个叫卖市场，街里道路两旁卖什么的都有，,0.4654513,0.22926378
19,story1,什么卖针的，卖线的，卖米的，卖面的，卖柴的，卖炭的，卖鸡子的，卖鸭蛋的，,0.44048676,0.25337845
20,story1,刚上市的水果，夜里摘的蔬菜，,0.4326528,0.24079174
21,story1,小户人家织的土布，有钱人穿的绸缎，那是吃的，使的，穿的，用的，应有尽有。,0.4233364,0.20329276
22,story1,长安城的老百姓最喜欢逛的也是这条街，这条街叫东市。,0.49626514,0.2558225
23,story1,自从汉武帝刘彻登基之后，这个东市一天比一天热闹，一天比一天繁荣，外地人也多了，跳卖珠宝奇货的客商也全都挤进了东市，,0.48882765,0.28587273
24,story1,这一天，天气奇热，,0.46051124,0.26274917
25,story1,人坐在这滴滴答答都往下流汗呢。到了中午，烈日当头，这做买卖的实在受不了了，就把这小摊儿都搬到树荫帘底下，坐在树荫帘底下凉快凉快。那挑挑的、担担的、赶着牲口的，没地儿躲呀，就躲在城门里的荫凉地儿这，坐在地上打盹。,0.4030072,0.25274497
26,story1,太阳底下就剩下一捆捆的柴火了，这东西反正晒不坏，卖柴火的小商小贩就坐在道旁边跟卖菜的聊天，,0.45098966,0.22270422
27,story1,就在这时候，,0.4616708,0.23113827
28,story1,突然间由打东门外吱扭扭，吱扭扭走进两辆牛车来，,0.40848267,0.2696233
29,story1,车轮子一响，卖东西的全都顺声音观瞧。哟，瞧这两头牛累的，舌头都吐出来了，往出吐白沫子，看这意思，车上东西可够重的，这道也不近。,0.42207423,0.21000263
30,story1,大家不由得就往车上看，一看这车上啊，这东西跟房子似的，上面堆着不少草，扇的挺严，一看这草，人们就猜出来了两辆牛车走的路程不近，这草啊全都晒白了。,0.4298177,0.2529413
31,story1,既然两头牛都累得这样，草都白了，那么赶车的人一定是风尘仆仆。,0.41103998,0.236323
32,story1,等大家伙站起来往前走，看这个赶车的!呵!,0.5221992,0.3318712
33,story1,大家伙眼前突然一亮，,0.71846235,0.5568097
34,story1,好人样啊！,0.8387506,0.65621877
35,story1,这个赶车的年轻人也就在二十岁刚出头，,0.59671974,0.36577561
36,story1,平顶身高在九尺开外，长得轻瘦细高，精气十足，,0.5696501,0.32886964
37,story1,身上的衣服虽然朴素简洁，但是十分飘逸。清秀的面庞，双眉过目，二目有神，鼻直口正大耳相衬。,0.5262122,0.28331697
38,story1,虽然经过一路上的风吹日晒，但是从他的眉宇之间看得出来，这个年轻人充满了自信跟傲慢。,0.7468066,0.480015
39,story1,头上戴着一顶竹制的高冠，腰间夸着一柄五尺长的宝剑，,0.5428854,0.2734322
40,story1,这剑袍随着他矫健的步履，有节奏地“欻欻”摇摆着，,0.58881927,0.3081101
41,story1,让人一看，就给人一种玉树临风的感觉，气质不凡。,0.6755775,0.40157586
42,story1,这个人就是我们这部书的主人公，智圣东方朔。既然称为智圣，他的智商是相当高的。,0.5828888,0.2847319
43,story1,东方朔是前汉齐国平原郡的人士，复姓东方单字名硕，字曼倩。,0.45617244,0.21793352
44,story1,从小父母双亡，由他的哥哥嫂子把他拉扯成人，,0.4571014,0.21103832
45,story1,东方朔从小就用功读书，人非常正派，就是喜欢开玩笑，,0.57532156,0.35994774
46,story1,今年二十二岁，从打十二岁开始读书，受尽了十年清灯之苦，,0.50918657,0.27172443
47,story1,东方朔通读了诗经、书经，还学习了孙武兵法，而且文武全才。,0.5154681,0.2719282
48,story1,由打十五岁开始练习剑术，而且练了七年了，身手不凡。那么东方朔不在老家练书习剑，上长安干什么来了?,0.4789711,0.18483669
49,story1,因为汉武帝刘彻自从登基之后就颁下一部诏书。,0.48698726,0.21253717
