ID,story,text
1,story1,"my father,"
2,story1,"therefore,"
3,story1,I offer it to you.
4,story1,"you knew his brother Panda and his captains,"
5,story1,"his servant,"
6,story1,who slew him with the Princes.
7,story1,"you have crowned their kings and shared their counsels,"
8,story1,a song has been sung in my ears of how first you mastered this people of the Zulu.
9,story1,"And when they grew weary,"
10,story1,"did you not stand and say,"
11,story1,pointing towards the ocean:
12,story1,"Kill me if you wish,"
13,story1,but I tell you that for every drop of my blood a hundred avengers shall rise from yonder sea!
14,story1,"Then,"
15,story1,"so it was told me,"
16,story1,"the regiments turned staring towards the Black Water,"
17,story1,"your name became great among the people of the Zulu,"
18,story1,"as already it was great among many another tribe,"
19,story1,"the royal salute,"
20,story1,"Why did you do this, my father?"
21,story1,"I will answer, who know the truth."
22,story1,"You did it because,"
23,story1,"had it not been done,"
24,story1,"Perhaps it had been better to leave it, since"
25,story1,"""Death chooses for himself,"""
26,story1,"and after all there was killing-of our own people,"
27,story1,"But in those days we did not guess what we should live to see,"
28,story1,Yet what does that avail?
29,story1,"it will be forgotten,"
30,story1,Only your name will not be forgotten;
31,story1,"as it was heard in life so it shall be heard in story,"
32,story1,"however humbly,"
33,story1,mine may pass down with it.
34,story1,"and I must leave the ways of action that I love and bury myself in books,"
35,story1,"but the old days and friends are in my mind,"
36,story1,nor while I have memory shall I forget them and you.
37,story1,"Therefore,"
38,story1,Elephant that is not turned!
39,story1,You who nursed us from of old!
40,story1,"You who overshadowed all peoples and took charge of them,"
41,story1,Help of the fatherless when in trouble!
42,story1,PREFACE The writer of this romance has been encouraged to his task by a purpose somewhat beyond that of setting out a wild tale of savage life.
43,story1,"When he was yet a lad,-now some seventeen years ago,-fortune took him to South Africa."
44,story1,"There he was thrown in with men who,"
45,story1,"for thirty or forty years,"
46,story1,"had been intimately acquainted with the Zulu people,"
47,story1,"with their history,"
48,story1,and their customs.
49,story1,"From these he heard many tales and traditions,"
50,story1,"perhaps,"
51,story1,"are rarely told nowadays,"
52,story1,and in time to come may cease to be told altogether.
53,story1,"now that nation has been destroyed,"
54,story1,"and the chief aim of its white rulers is to root out the warlike spirit for which it was remarkable,"
55,story1,and to replace it by a spirit of peaceful progress.
56,story1,"perhaps the most wonderful that the world has seen,"
57,story1,is already a thing of the past;
58,story1,building it up from the smallest beginnings.
59,story1,"When he appeared at the commencement of this century,"
60,story1,it was as the ruler of a single small tribe;
61,story1,"when he fell,"
62,story1,"in the year eighteen twenty eight,"
63,story1,"as he is called also,"
64,story1,and in his march to power he had slaughtered more than a million human beings.
65,story1,so no more need be said of them here.
66,story1,"has been to convey,"
67,story1,"in a narrative form,"
68,story1,"and to make accessible,"
69,story1,"in a popular shape,"
70,story1,"incidents of history which are now,"
71,story1,"only to be found in a few scarce works of reference,"
72,story1,"rarely consulted,"
73,story1,"It will be obvious that such a task has presented difficulties,"
74,story1,and think with the mind and speak with the voice of a Zulu of the old regime.
75,story1,"their details have, therefore, been suppressed."
76,story1,"Still much remains,"
77,story1,may be invited to leave this book unread.
78,story1,"indeed nearly all,"
79,story1,"for the reason given,"
80,story1,and that he prophesied of the coming of the white man after receiving his death wounds.
81,story1,it is impossible to speak so certainly.
82,story1,but he cannot discover any confirmation of it.
83,story1,these kings undoubtedly put their soldiers to many tests of equal severity.
84,story1,"Umbopo, or Mopo, as he is named in this tale, actually lived."
85,story1,"Then he disappears from the scene,"
86,story1,but it is not accurately known whether he also went
87,story1,which has been considerably varied to suit the purposes of this romance.
88,story1,"The late Mister Leslie, who died in eighteen seventy four, tells it in his book"
89,story1,Among the Zulus and Amatongas.
90,story1,"""I heard a story the other day,"""
91,story1,"he says,"
92,story1,I might have worked up into a first-class sensational novel.
93,story1,It is the story that has been woven into the plot of this book.
94,story1,it was told to Mister Leslie by the Zulu who performed the feat and thereby won a wife.
95,story1,"Also the writer's thanks are due to his friends,"
96,story1,"late Zulu border agent,"
97,story1,"for much information given to him in bygone years by word of mouth,"
98,story1,"formerly treasurer to the Government of Natal,"
99,story1,"whose compilation,"
100,story1,"""The Annals of Natal,"""
101,story1,"""Watcher of the Fords,"""
102,story1,"is an historical weapon,"
103,story1,"He was an arbitrary person, for"
104,story1,"no matter what was discussed in our village,"
105,story1,he would bring it to a conclusion with a stick.
106,story1,But he made a good end;
107,story1,"for when the Zulu soldiers attacked him,"
108,story1,"he killed no less than twenty of them with the Watcher,"
109,story1,and the spears stuck in him
110,story1,as thick as reeds in a morass.
111,story1,This man's strength was so great that he could kill a leopard
112,story1,"with his hands only,"
113,story1,It has been little if at all exaggerated.
114,story1,"and to take the form of a young maiden,"
115,story1,in fact an angel.
116,story1,"She is said to appear to some chosen person,"
117,story1,to whom she imparts some revelation;
118,story1,"whatever that revelation may be,"
119,story1,it is kept a profound secret from outsiders.
120,story1,"just before the Zulu war,"
121,story1,"revealing something or other which had a great effect throughout the land,"
122,story1,and I know that the Zulus were quite impressed that some calamity was about to befall them.
123,story1,"One of the ominous signs was that fire is said to have descended from heaven,"
124,story1,and ignited the grass over the graves of the former kings of Zululand.
125,story1,"that the native women buried their young children up to their heads in sand,"
126,story1,"deserting them for the time being,"
127,story1,"going away weeping,"
128,story1,"For this divine personage there is,"
129,story1,"authority,"
130,story1,and the same may be said of most of the supernatural matters spoken of in these pages.
131,story1,"Briefly,"
132,story1,"or the spirit of an ancestor,"
133,story1,to that of a god.
134,story1,"In the case of an able and highly intelligent person like the Mopo of this story,"
135,story1,the ideal would probably not be a low one;
136,story1,It only remains to the writer to express his regret that this story is not more varied in its hue.
137,story1,It would have been desirable to introduce some gayer and more happy incidents.
138,story1,But it has not been possible.
139,story1,"It is believed that the picture given of the times is a faithful one,"
140,story1,though it may be open to correction in some of its details.
141,story1,the aged man who tells the tale of his wrongs and vengeance could not be expected to treat his subject in an optimistic or even in a cheerful vein.
142,story1,"His name does not matter, for he plays no part in this story."
143,story1,which he was transporting to Pretoria.
144,story1,"The weather was cold and there was little or no grass for the oxen,"
145,story1,which made the journey difficult;
146,story1,"but he had been tempted to it by the high rates of transport that prevailed at that season of the year,"
147,story1,which would remunerate him for any probable loss he might suffer in cattle.
148,story1,"So he pushed along on his journey,"
149,story1,"and all went well until he had passed the little town of Stanger,"
150,story1,"The night after he left Stanger the air turned bitterly cold,"
151,story1,and hid the light of the stars.
152,story1,"I should say that there was a heavy fall of snow coming,"
153,story1,said the White Man to himself.
154,story1,I have often seen the sky look like that in Scotland before snow.
155,story1,"Then he reflected that there had been no deep snow in Natal for years,"
156,story1,"and,"
157,story1,every ox in its place.
158,story1,He thrust his head through the curtain of the tent and looked out.
159,story1,"The earth was white with snow,"
160,story1,"and the air was full of it,"
161,story1,swept along by a cutting wind.
162,story1,"Now he sprang up,"
163,story1,huddling on his clothes and as he did so calling to the Kaffirs who slept beneath the wagons.
164,story1,"Presently they awoke from the stupor which already was beginning to overcome them,"
165,story1,"and crept out,"
166,story1,he said to them in Zulu;
167,story1,quick!
168,story1,Would you see the cattle die of the snow and wind?
169,story1,they will give them some shelter.
170,story1,And lighting a lantern he sprang out into the snow.
171,story1,"At last it was done-no easy task,"
172,story1,"Then the White Man crept back to his bed,"
173,story1,"and the shivering natives,"
174,story1,"took refuge on the second wagon,"
175,story1,drawing a tent-sail over them.
176,story1,save for the moaning of the huddled and restless cattle.
177,story1,"""If the snow goes on I shall lose my oxen,"""
178,story1,he said to himself;
179,story1,they can never bear this cold.
180,story1,Hardly had the words passed his lips when the wagon shook;
181,story1,Once more he looked out.
182,story1,"running away into the night and the snow,"
183,story1,seeking to find shelter from the cold.
184,story1,In a minute they had vanished utterly.
185,story1,"There was nothing to be done, except wait for the morning."
186,story1,"At last it came, revealing a landscape blind with snow."
187,story1,Such search as could be made told them nothing.
188,story1,"The oxen had gone,"
189,story1,"""What was to be done?"""
190,story1,he asked.
191,story1,"One said this thing,"
192,story1,but all agreed that they must wait to act until the snow melted.
193,story1,"""Or till we freeze, you whose mothers were fools!"""
