ID,story,text,V_pred,A_pred
1,story1,"Printing, in the only sense with which we are at present concerned, differs from most if not from all the arts and crafts represented in the Exhibition",0.44253394,0.2167465
2,story1,in being comparatively modern.,0.43999377,0.19949752
3,story1,"For although the Chinese took impressions from wood blocks engraved in relief for centuries before the woodcutters of the Netherlands, by a similar process",0.46835577,0.23648894
4,story1,"produced the block books, which were the immediate predecessors of the true printed book,",0.47154203,0.20846961
5,story1,the invention of movable metal letters in the middle of the fifteenth century may justly be considered as the invention of the art of printing.,0.46794477,0.17944553
6,story1,"And it is worth mention in passing that, as an example of fine typography,",0.5232445,0.23930459
7,story1,"the earliest book printed with movable types, the Gutenberg, or ""forty-two line Bible"" of about fourteen fifty-five,",0.5089384,0.25740498
8,story1,has never been surpassed.,0.52860713,0.23434725
9,story1,"Printing, then, for our purpose, may be considered as the art of making books by means of movable types.",0.46766192,0.19171125
10,story1,"Now, as all books not primarily intended as picture-books consist principally of types composed to form letterpress,",0.47295874,0.20080175
11,story1,it is of the first importance that the letter used should be fine in form;,0.4981387,0.22020525
12,story1,"especially as no more time is occupied, or cost incurred, in casting, setting, or printing beautiful letters",0.476566,0.20666106
13,story1,than in the same operations with ugly ones.,0.4819264,0.19330452
14,story1,"And it was a matter of course that in the Middle Ages, when the craftsmen took care that beautiful form should always be a part of their productions whatever they were,",0.5109117,0.23107147
15,story1,"The Middle Ages brought calligraphy to perfection, and it was natural therefore",0.5123668,0.24508321
16,story1,"that the forms of printed letters should follow more or less closely those of the written character, and they followed them very closely.",0.49391088,0.22238572
17,story1,"The first books were printed in black letter, i.e. the letter which was a Gothic development of the ancient Roman character,",0.456593,0.21014276
18,story1,"and which developed more completely and satisfactorily on the side of the ""lower-case"" than the capital letters;",0.4617238,0.19930084
19,story1,"the ""lower-case"" being in fact invented in the early Middle Ages.",0.47470343,0.16887748
20,story1,"The earliest book printed with movable type, the aforesaid Gutenberg Bible, is printed in letters which are an exact imitation",0.46861628,0.20780073
21,story1,"of the more formal ecclesiastical writing which obtained at that time; this has since been called ""missal type,""",0.46925092,0.18733272
22,story1,"and was in fact the kind of letter used in the many splendid missals, psalters, etc., produced by printing in the fifteenth century.",0.49485034,0.18212895
23,story1,But the first Bible actually dated (which also was printed at Maintz by Peter Schoeffer in the year fourteen sixty-two),0.515947,0.21895556
24,story1,"imitates a much freer hand, simpler, rounder, and less spiky, and therefore far pleasanter and easier to read.",0.53639996,0.21296267
25,story1,"On the whole the type of this book may be considered the ne-plus-ultra of Gothic type,",0.4919243,0.20880514
26,story1,"especially as regards the lower-case letters; and type very similar was used during the next fifteen or twenty years not only by Schoeffer,",0.5006041,0.20355788
27,story1,"but by printers in Strasburg, Basle, Paris, Lubeck, and other cities.",0.50163764,0.17576373
28,story1,"But though on the whole, except in Italy, Gothic letter was most often used",0.47808722,0.20350915
29,story1,"a very few years saw the birth of Roman character not only in Italy, but in Germany and France.",0.4798137,0.16837044
30,story1,"In fourteen sixty-five Sweynheim and Pannartz began printing in the monastery of Subiaco near Rome,",0.5170733,0.21941483
31,story1,"and used an exceedingly beautiful type, which is indeed to look at a transition between Gothic and Roman,",0.5013051,0.2188636
32,story1,but which must certainly have come from the study of the twelfth or even the eleventh century MSS.,0.4927952,0.18393004
33,story1,"They printed very few books in this type, three only; but in their very first books in Rome, beginning with the year fourteen sixty-eight,",0.48606122,0.1988693
34,story1,they discarded this for a more completely Roman and far less beautiful letter.,0.4541597,0.17264973
35,story1,But about the same year Mentelin at Strasburg began to print in a type which is distinctly Roman;,0.49655244,0.2020802
36,story1,and the next year Gunther Zeiner at Augsburg followed suit;,0.5027984,0.2155031
37,story1,"while in fourteen seventy at Paris Udalric Gering and his associates turned out the first books printed in France, also in Roman character.",0.5219534,0.19530071
